modelo,particion,precision,recall,f1,roc_auc,pr_auc,umbral
XGBoost (scale_pos_weight),validación,0.926829268292683,0.7755102040816326,0.8444444444444444,0.9811309818407077,0.8281130423088645,0.8299999999999996
XGBoost + SMOTE,validación,0.96,0.7346938775510204,0.8323699421965318,0.9811534131265013,0.811679519702114,0.9899999999999995
Random Forest (class_weight),validación,0.9240506329113924,0.7448979591836735,0.8248587570621468,0.9496688603866007,0.80094886111038,0.4649999999999998
XGBoost (scale_pos_weight),test (final),0.9310344827586207,0.8181818181818182,0.8709677419354839,0.9775364747842458,0.8743137308175328,0.8299999999999996
