model,split,accuracy,f1_macro,f1_weighted
Linear SVM (calibrated),validation,0.7866545619609623,0.7795262240086849,0.7854715341794289
Complement Naive Bayes,validation,0.7898320472083522,0.7737806430847867,0.7839654198617112
Logistic regression,validation,0.7766681797548797,0.769447185356844,0.7756592377676369
Linear SVM (calibrated),test (final),0.7190105234385678,0.7061842514563839,0.7168337186342213
