modelo,MAE,RMSE,R2,R2_cv_media,R2_cv_desv,particion
XGBoost,0.2938379773614019,0.44672337678857976,0.8471185391610168,0.8466908004962871,0.007051126139844707,validación
Random Forest,0.3381224819452759,0.5139343049592039,0.7976549054067605,0.8042313781542252,0.006949129538235183,validación
Regresión lineal,0.5336164161743362,0.7297700982397197,0.5920099290350325,0.6060735694890822,0.007932354033314484,validación
XGBoost,0.29572328704943723,0.4536956578663075,0.8498753663014885,,,test (final)
